[ ID] Interval       Transfer     Bandwidth
[  1] 268.0000-269.0000 sec  1.00 GBytes  8.62 Gbits/sec
[  1] 269.0000-270.0000 sec  1.00 GBytes  8.61 Gbits/sec
[  1] 270.0000-271.0000 sec  1005 MBytes  8.43 Gbits/sec
[  1] 271.0000-272.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 272.0000-273.0000 sec  1013 MBytes  8.50 Gbits/sec
[  1] 273.0000-274.0000 sec  1005 MBytes  8.43 Gbits/sec
[  1] 274.0000-275.0000 sec  1020 MBytes  8.56 Gbits/sec
[  1] 275.0000-276.0000 sec  1021 MBytes  8.57 Gbits/sec
[  1] 276.0000-277.0000 sec  1018 MBytes  8.54 Gbits/sec
[  1] 277.0000-278.0000 sec  1.01 GBytes  8.70 Gbits/sec
[  1] 278.0000-279.0000 sec  1.04 GBytes  8.97 Gbits/sec
[  1] 279.0000-280.0000 sec   984 MBytes  8.25 Gbits/sec
[  1] 280.0000-281.0000 sec  1.01 GBytes  8.67 Gbits/sec
[  1] 281.0000-282.0000 sec  1.03 GBytes  8.88 Gbits/sec
[  1] 282.0000-283.0000 sec  1009 MBytes  8.46 Gbits/sec
[  1] 283.0000-284.0000 sec  1.03 GBytes  8.81 Gbits/sec
[  1] 284.0000-285.0000 sec  1.04 GBytes  8.95 Gbits/sec
[  1] 285.0000-286.0000 sec  1024 MBytes  8.59 Gbits/sec
[  1] 286.0000-287.0000 sec  1000 MBytes  8.39 Gbits/sec
[  1] 287.0000-288.0000 sec  1.02 GBytes  8.74 Gbits/sec
[  1] 288.0000-289.0000 sec  1.01 GBytes  8.70 Gbits/sec
[  1] 289.0000-290.0000 sec   909 MBytes  7.63 Gbits/sec
[  1] 290.0000-291.0000 sec   998 MBytes  8.38 Gbits/sec
[  1] 291.0000-292.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 292.0000-293.0000 sec  1.03 GBytes  8.85 Gbits/sec
[  1] 293.0000-294.0000 sec   892 MBytes  7.48 Gbits/sec
[  1] 294.0000-295.0000 sec   980 MBytes  8.22 Gbits/sec
[  1] 295.0000-296.0000 sec  1.03 GBytes  8.85 Gbits/sec
[  1] 296.0000-297.0000 sec  1.01 GBytes  8.67 Gbits/sec
[  1] 297.0000-298.0000 sec  1.01 GBytes  8.67 Gbits/sec
[  1] 298.0000-299.0000 sec   810 MBytes  6.79 Gbits/sec
[  1] 299.0000-300.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 300.0000-301.0000 sec  1022 MBytes  8.58 Gbits/sec
[  1] 301.0000-302.0000 sec  1023 MBytes  8.58 Gbits/sec
[  1] 302.0000-303.0000 sec  1.00 GBytes  8.60 Gbits/sec
[  1] 303.0000-304.0000 sec  1.04 GBytes  8.89 Gbits/sec
[  1] 304.0000-305.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 305.0000-306.0000 sec  1.05 GBytes  9.02 Gbits/sec
[  1] 306.0000-307.0000 sec  1.06 GBytes  9.06 Gbits/sec
[  1] 307.0000-308.0000 sec  1.01 GBytes  8.71 Gbits/sec
[  1] 308.0000-309.0000 sec  1.01 GBytes  8.69 Gbits/sec
[  1] 309.0000-310.0000 sec  1.02 GBytes  8.77 Gbits/sec
[  1] 310.0000-311.0000 sec  1.00 GBytes  8.60 Gbits/sec
[  1] 311.0000-312.0000 sec  1.04 GBytes  8.93 Gbits/sec
[  1] 312.0000-313.0000 sec  1.02 GBytes  8.78 Gbits/sec
[  1] 313.0000-314.0000 sec  1.01 GBytes  8.70 Gbits/sec
[  1] 314.0000-315.0000 sec  1.06 GBytes  9.06 Gbits/sec
[  1] 315.0000-316.0000 sec  1.06 GBytes  9.08 Gbits/sec
[  1] 316.0000-317.0000 sec  1.04 GBytes  8.95 Gbits/sec
[  1] 317.0000-318.0000 sec  1.06 GBytes  9.08 Gbits/sec
[  1] 318.0000-319.0000 sec  1.03 GBytes  8.81 Gbits/sec
[  1] 319.0000-320.0000 sec  1.05 GBytes  9.02 Gbits/sec
[  1] 320.0000-321.0000 sec  1.02 GBytes  8.80 Gbits/sec
[  1] 321.0000-322.0000 sec  1.04 GBytes  8.93 Gbits/sec
[  1] 322.0000-323.0000 sec  1.05 GBytes  8.99 Gbits/sec
[  1] 323.0000-324.0000 sec  1.04 GBytes  8.97 Gbits/sec
[  1] 324.0000-325.0000 sec  1.04 GBytes  8.93 Gbits/sec
[  1] 325.0000-326.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 326.0000-327.0000 sec  1.04 GBytes  8.90 Gbits/sec
[  1] 327.0000-328.0000 sec  1.04 GBytes  8.94 Gbits/sec
[  1] 328.0000-329.0000 sec  1.04 GBytes  8.90 Gbits/sec
[  1] 329.0000-330.0000 sec  1.03 GBytes  8.82 Gbits/sec
[  1] 330.0000-331.0000 sec  1.03 GBytes  8.89 Gbits/sec
[  1] 331.0000-332.0000 sec  1018 MBytes  8.54 Gbits/sec
[  1] 332.0000-333.0000 sec  1.04 GBytes  8.90 Gbits/sec
[  1] 333.0000-334.0000 sec  1.05 GBytes  9.05 Gbits/sec
[  1] 334.0000-335.0000 sec  1.05 GBytes  9.04 Gbits/sec
[  1] 335.0000-336.0000 sec  1.06 GBytes  9.14 Gbits/sec
[  1] 336.0000-337.0000 sec  1.05 GBytes  9.01 Gbits/sec
[  1] 337.0000-338.0000 sec  1.06 GBytes  9.14 Gbits/sec
[  1] 338.0000-339.0000 sec  1.07 GBytes  9.23 Gbits/sec
[  1] 339.0000-340.0000 sec  1.10 GBytes  9.49 Gbits/sec
[  1] 340.0000-341.0000 sec  1.10 GBytes  9.45 Gbits/sec
[  1] 341.0000-342.0000 sec  1.11 GBytes  9.54 Gbits/sec
[  1] 342.0000-343.0000 sec  1.08 GBytes  9.30 Gbits/sec
[  1] 343.0000-344.0000 sec  1.10 GBytes  9.46 Gbits/sec
[  1] 344.0000-345.0000 sec  1.11 GBytes  9.52 Gbits/sec
[  1] 345.0000-346.0000 sec  1.10 GBytes  9.42 Gbits/sec
[  1] 346.0000-347.0000 sec  1.09 GBytes  9.37 Gbits/sec
[  1] 347.0000-348.0000 sec  1.12 GBytes  9.63 Gbits/sec
[  1] 348.0000-349.0000 sec  1.10 GBytes  9.45 Gbits/sec
[  1] 349.0000-350.0000 sec  1.11 GBytes  9.52 Gbits/sec
[  1] 350.0000-351.0000 sec  1.13 GBytes  9.71 Gbits/sec
[  1] 351.0000-352.0000 sec  1.06 GBytes  9.14 Gbits/sec
[  1] 352.0000-353.0000 sec  1.07 GBytes  9.19 Gbits/sec
[  1] 353.0000-354.0000 sec  1.09 GBytes  9.37 Gbits/sec
[  1] 354.0000-355.0000 sec  1.08 GBytes  9.28 Gbits/sec
[  1] 355.0000-356.0000 sec  1.08 GBytes  9.25 Gbits/sec
[  1] 356.0000-357.0000 sec  1.07 GBytes  9.22 Gbits/sec
[  1] 357.0000-358.0000 sec  1.11 GBytes  9.54 Gbits/sec
[  1] 358.0000-359.0000 sec  1011 MBytes  8.48 Gbits/sec
